cliente,reference_month,document_type,source,status,file_path,criado_em
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vt,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vt,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vt,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vt,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vt,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vt,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vt,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vt,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vt,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,contracheque,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,contracheque,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,contracheque,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,contracheque,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,contracheque,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,contracheque,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,contracheque,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,contracheque,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,contracheque,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,folha_ponto,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,folha_ponto,dp,PREENCHIDO,/app/uploads/ponto/2e814e1c-d022-4bb4-8e39-62fab36cd4ac/03.2026/FolhaPonto_03.2026_ANDREA_GONÇALVES_DOS_SANTOS.html,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,folha_ponto,dp,PREENCHIDO,/app/uploads/ponto/0754e0aa-0be4-4253-9816-003c0149c1cd/03.2026/FolhaPonto_03.2026_ADEMIR_SALUSTIANO_DE_SOUZA_FIL.html,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,folha_ponto,dp,PREENCHIDO,/app/uploads/ponto/0d7887cc-d824-44ff-86be-201c7ab70dc6/03.2026/FolhaPonto_03.2026_ANILSON_JOSE_SEIXAS_NEVES.html,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,folha_ponto,dp,PREENCHIDO,/app/uploads/ponto/13a02a88-abdc-48e0-b128-d1005ba57a04/03.2026/FolhaPonto_03.2026_ANTONIO_CARLOS_CASTRO_GAMA.html,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,folha_ponto,dp,PREENCHIDO,/app/uploads/ponto/58e002c7-7df8-42a8-aef9-0607d41a306c/03.2026/FolhaPonto_03.2026_ANTONIO_DINIZ_ASSIS_DOS_SANTOS.html,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,folha_ponto,dp,PREENCHIDO,/app/uploads/ponto/430bc8bc-da1a-4667-b6fc-578774e5d2cf/03.2026/FolhaPonto_03.2026_AILTON_CÉSAR_VASCONCELOS.html,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,folha_ponto,dp,PREENCHIDO,/app/uploads/ponto/2430761d-172e-44b8-a817-edfea166e321/03.2026/FolhaPonto_03.2026_ADAILSON_SERRA_ALVES.html,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,folha_ponto,dp,PREENCHIDO,/app/uploads/ponto/ab54e4fc-627f-44cd-ae92-c43b459a90ec/03.2026/FolhaPonto_03.2026_ANTONIO_CARLOS_VIEIRA.html,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,cnd_estadual,fiscal,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,cnd_federal,fiscal,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,cnd_municipal,fiscal,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,cndt_trabalhista,fiscal,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,crf_fgts,fiscal,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,contracheque,gedeon,PREENCHIDO,/app/uploads/onvio/outros/2026-04/Recibo Folha 03.2026_Ideal Flores.pdf,2026-05-05
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,folha_pagamento,gedeon,PREENCHIDO,/app/uploads/onvio/outros/2026-04/Folha 03.2026_Ideal Flores.pdf,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,escala_mes,operacoes,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,escala_mes,operacoes,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,escala_mes,operacoes,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,escala_mes,operacoes,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,escala_mes,operacoes,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,escala_mes,operacoes,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,escala_mes,operacoes,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,escala_mes,operacoes,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,escala_mes,operacoes,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_va,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vr,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comprovante_vt,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_ponto,dp,VAZIO,,2026-05-06
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,cnd_estadual,fiscal,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,cnd_federal,fiscal,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,cnd_municipal,fiscal,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,cndt_trabalhista,fiscal,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,crf_fgts,fiscal,VAZIO,,2026-04-28
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,aso,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,boleto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,cnd_caixa,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,cnd_prefeitura,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,cnd_rfb,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,cnd_sefaz,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,cnd_trabalhista,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_pag_fgts,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_salario_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_salario_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_salario_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_salario_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_salario_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_salario_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_salario_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_va_solides,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_va_solides,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_va_solides,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_va_solides,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_va_solides,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_va_solides,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_va_solides,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_va_solides,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_va_solides,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_va_solides,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_va_solides,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_individual,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_va_combinado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_va_combinado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_va_combinado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_va_combinado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,comp_vt_va_combinado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contracheque,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contrato_trabalho,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contrato_trabalho,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contrato_trabalho,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contrato_trabalho,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contrato_trabalho,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contrato_trabalho,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contrato_trabalho,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contrato_trabalho,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contrato_trabalho,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contrato_trabalho,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,contrato_trabalho,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,dctfweb_declaracao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,dctfweb_extrato,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,dctfweb_recibo,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,ficha_empregado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,ficha_empregado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,ficha_empregado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,ficha_empregado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,ficha_empregado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,ficha_empregado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,ficha_empregado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,ficha_empregado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,ficha_empregado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,ficha_empregado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,ficha_empregado,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folha_pagamento,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folhas_ponto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folhas_ponto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folhas_ponto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folhas_ponto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folhas_ponto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folhas_ponto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folhas_ponto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folhas_ponto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folhas_ponto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folhas_ponto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,folhas_ponto,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_mensal,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_rescisao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_rescisao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_rescisao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_rescisao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_rescisao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_rescisao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_rescisao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_rescisao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_rescisao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_rescisao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,gfd_fgts_rescisao,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,nfse,gedeon,VAZIO,,2026-04-22
CONDOMINIO IDEAL FLORES DA CIDADE,2026-04-01,recibo_vt_va,gedeon,VAZIO,,2026-04-22
